LDC	TEDL15_EVAL_12944	man	ENG_DF_000170_20150219_F0010008Z:1011-1013	m.09b6zr	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_15706	Jeb Bush	ENG_DF_000170_20150219_F0010008Z:1079-1086	m.019x9z	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_25188	Bush	ENG_DF_000170_20150219_F0010008Z:1118-1121	m.034ls	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_27167	Bush	ENG_DF_000170_20150219_F0010008Z:1150-1153	m.09b6zr	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_17869	Secretary of State	ENG_DF_000170_20150219_F0010008Z:1231-1248	m.01f6t5	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_06133	James Baker	ENG_DF_000170_20150219_F0010008Z:1251-1261	m.01f6t5	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_12374	skyq	ENG_DF_000170_20150219_F0010008Z:126-129	NIL02310	PER	NAM	1.0	N	N	Y
LDC	TEDL15_EVAL_20458	brother	ENG_DF_000170_20150219_F0010008Z:1269-1275	m.09b6zr	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_02527	Deputy Defense Secretary	ENG_DF_000170_20150219_F0010008Z:1279-1302	m.01b80n	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_25943	Paul Wolfowitz	ENG_DF_000170_20150219_F0010008Z:1305-1318	m.01b80n	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_06074	brother	ENG_DF_000170_20150219_F0010008Z:1326-1332	m.09b6zr	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_10822	National Security Adviser	ENG_DF_000170_20150219_F0010008Z:1336-1360	m.04dl2b	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_28888	Stephen Hadley	ENG_DF_000170_20150219_F0010008Z:1363-1376	m.04dl2b	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_05377	brother	ENG_DF_000170_20150219_F0010008Z:1410-1416	m.09b6zr	PER	NOM	1.0	N	N	N
LDC	TEDL15_EVAL_01573	Tom Ridge	ENG_DF_000170_20150219_F0010008Z:1429-1437	m.01d_c9	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_26871	Michael Chertoff	ENG_DF_000170_20150219_F0010008Z:1443-1458	m.04yfpm	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_17553	zeke	ENG_DF_000170_20150219_F0010008Z:1530-1533	NIL03090	PER	NAM	1.0	N	N	Y
LDC	TEDL15_EVAL_00630	Jeb Bush	ENG_DF_000170_20150219_F0010008Z:203-210	m.019x9z	PER	NAM	1.0	N	N	N
LDC	TEDL15_EVAL_10369	Repubs	ENG_DF_000170_20150219_F0010008Z:2071-2076	m.07wbk	ORG	NAM	1.0	N	N	N
